Ashfield,1800,1737,-3.5
Bernardston,2155,2129,-1.21
Buckland,1991,1902,-4.47
Charlemont,1358,1266,-6.77
Colrain,1813,1671,-7.83
Conway,1809,1897,4.86
Deerfield,4750,5125,7.89
Erving,1467,1800,22.7
Gill,1363,1500,10.05
Greenfield,18168,17456,-3.92
Hawley,336,337,0.3
Heath,805,706,-12.3
Leverett,1663,1851,11.3
Leyden,772,711,-7.9
Monroe,93,121,30.11
Montague,8489,8437,-0.61
New Salem,929,990,6.57
Northfield,2951,3032,2.74
Orange,7518,7839,4.27
Rowe,351,393,11.97
Shelburne,2058,1893,-8.02
Shutesbury,1810,1771,-2.15
Sunderland,3777,3684,-2.46
Warwick,750,780,4
Wendell,986,848,-14
Whately,1573,1496,-4.9
Agawam,28144,28438,1.04
Blandford,1214,1233,1.57
Brimfield,3339,3609,8.09
Chester,1308,1337,2.22
Chicopee,54653,55298,1.18
East Longmeadow,14100,15720,11.49
Granville,1521,1566,2.96
Hampden,5171,5139,-0.62
Holland,2407,2481,3.07
Holyoke,39838,39880,0.11
Longmeadow,15633,15784,0.97
Ludlow,21209,21103,-0.5
Monson,8359,8560,2.4
Montgomery,654,838,28.13
Palmer,12497,12140,-2.86
Russell,1657,1775,7.12
Southwick,8835,9502,7.55
Springfield,152082,153060,0.64
Tolland,426,485,13.85
Wales,1737,1838,5.81
West Springfield,27899,28391,1.76
Westfield,40072,41094,2.55
Wilbraham,13473,14219,5.54
Amherst,34874,37819,8.44
Belchertown,12968,14649,12.96
Chesterfield,1201,1222,1.75
Cummington,978,872,-10.84
Easthampton,15994,16053,0.37
Goshen,921,1054,14.44
Granby,6132,6240,1.76
Hadley,4793,5250,9.53
Hatfield,3249,3279,0.92
Huntington,2174,2180,0.28
Middlefield,542,521,-3.87
Northampton,28978,28549,-1.48
Pelham,1403,1321,-5.84
Plainfield,589,648,10.02
South Hadley,17196,17514,1.85
Southampton,5387,5792,7.52
Ware,9707,9872,1.7
Westhampton,1468,1607,9.47
Williamsburg,2427,2482,2.27
Worthington,1270,1156,-8.98
Acton,20331,21924,7.84
Arlington,42389,42844,1.07
Ashby,2845,3074,8.05
Ashland,14674,16593,13.08
Ayer,7287,7427,1.92
Bedford,12595,13320,5.76
Belmont,24194,24729,2.21
Billerica,38981,40243,3.24
Boxborough,4868,4996,2.63
Burlington,22876,24498,7.09
Cambridge,101355,105162,3.76
Carlisle,4717,4852,2.86
Chelmsford,33858,33802,-0.17
Concord,16993,17668,3.97
Dracut,28562,29457,3.13
Dunstable,2829,3179,12.37
Everett,38037,41667,9.54
Framingham,66910,68318,2.1
Groton,9547,10646,11.51
Holliston,13801,13547,-1.84
Hopkinton,13346,14925,11.83
Hudson,18113,19063,5.24
Lexington,30355,31394,3.42
Lincoln,8056,6362,-21.03
Littleton,8184,8924,9.04
Lowell,105167,106519,1.29
Malden,56340,59450,5.52
Marlborough,36255,38499,6.19
Maynard,10433,10106,-3.13
Medford,55765,56173,0.73
Melrose,27134,26983,-0.56
Natick,32170,33006,2.6
Newton,83829,85146,1.57
North Reading,13837,14892,7.62
Pepperell,11142,11497,3.19
Reading,23708,24747,4.38
Sherborn,4200,4119,-1.93
Shirley,6373,7211,13.15
Somerville,77478,75754,-2.23
Stoneham,22219,21437,-3.52
Stow,5902,6590,11.66
Sudbury,16841,17659,4.86
Tewksbury,28851,28961,0.38
Townsend,9198,8926,-2.96
Tyngsborough,11081,11292,1.9
Wakefield,24804,24932,0.52
Waltham,59226,60632,2.37
Watertown,32986,31915,-3.25
Wayland,13100,12994,-0.81
Westford,20754,21951,5.77
Weston,11469,11261,-1.81
Wilmington,21363,22325,4.5
Winchester,20810,21374,2.71
Woburn,37258,38120,2.31
Nantucket,9520,10172,6.85
Avon,4443,4356,-1.96
Bellingham,15314,16332,6.65
Braintree,33828,35744,5.66
Brookline,57107,58732,2.85
Canton,20775,21561,3.78
Cohasset,7261,7542,3.87
Dedham,23464,24729,5.39
Dover,5558,5589,0.56
Foxborough,16246,16865,3.81
Franklin,29560,31635,7.02
Holbrook,10785,10791,0.06
Medfield,12273,12024,-2.03
Medway,12448,12752,2.44
Millis,7902,7891,-0.14
Milton,26062,27003,3.61
Needham,28911,28886,-0.09
Norfolk,10460,11227,7.33
Norwood,28587,28602,0.05
Plainville,7683,8264,7.56
Quincy,88025,92271,4.82
Randolph,30963,32112,3.71
Sharon,17408,17612,1.17
Stoughton,27149,26962,-0.69
Walpole,22824,24070,5.46
Wellesley,26613,27982,5.14
Westwood,14117,14618,3.55
Weymouth,53988,53743,-0.45
Wrentham,10554,10955,3.8
Abington,14605,15985,9.45
Bridgewater,25185,26563,5.47
Brockton,94304,93810,-0.52
Carver,11163,11509,3.1
Duxbury,14248,15059,5.69
East Bridgewater,12974,13794,6.32
Halifax,7500,7518,0.24
Hanover,13164,13879,5.43
Hanson,9495,10209,7.52
Hingham,19882,22157,11.44
Hull,11050,10293,-6.85
Kingston,11780,12629,7.21
Lakeville,9821,10602,7.95
Marion,5123,4907,-4.22
Marshfield,24324,25132,3.32
Mattapoisett,6268,6045,-3.56
Middleborough,19941,23116,15.92
Norwell,9765,10506,7.59
Pembroke,16927,17837,5.38
Plymouth,51701,56468,9.22
Plympton,2637,2820,6.94
Rochester,4581,5232,14.21
Rockland,17670,17489,-1.02
Scituate,17863,18133,1.51
Wareham,20335,21822,7.31
West Bridgewater,6634,6916,4.25
Whitman,13882,14489,4.37
Boston,589141,617594,4.83
Chelsea,35080,35177,0.28
Revere,47283,51755,9.46
Winthrop,18303,17497,-4.4
Ashburnham,5546,6081,9.65
Athol,11299,11584,2.52
Auburn,15901,16188,1.8
Barre,5113,5398,5.57
Berlin,2380,2866,20.42
Blackstone,8804,9026,2.52
Bolton,4148,4897,18.06
Boylston,4008,4355,8.66
Brookfield,3051,3390,11.11
Charlton,11263,12981,15.25
Clinton,13435,13606,1.27
Douglas,7045,8471,20.24
Dudley,10036,11390,13.49
East Brookfield,2097,2183,4.1
Fitchburg,39102,40318,3.11
Gardner,20770,20228,-2.61
Grafton,14894,17765,19.28
Hardwick,2622,2990,14.04
Harvard,5981,6520,9.01
Holden,15621,17346,11.04
Hopedale,5907,5911,0.07
Hubbardston,3909,4382,12.1
Lancaster,7380,8055,9.15
Leicester,10471,10970,4.77
Leominster,41303,40759,-1.32
Lunenburg,9401,10086,7.29
Mendon,5286,5839,10.46
Milford,26799,27999,4.48
Millbury,12784,13261,3.73
Millville,2724,3190,17.11
New Braintree,927,999,7.77
North Brookfield,4683,4680,-0.06
Northborough,14013,14155,1.01
Northbridge,13182,15707,19.15
Oakham,1673,1902,13.69
Oxford,13352,13709,2.67
Paxton,4386,4806,9.58
Petersham,1180,1234,4.58
Phillipston,1621,1682,3.76
Princeton,3353,3413,1.79
Royalston,1254,1258,0.32
Rutland,6353,7973,25.5
Shrewsbury,31640,35608,12.54
Southborough,8781,9767,11.23
Southbridge,17214,16719,-2.88
Spencer,11691,11688,-0.03
Sterling,7257,7808,7.59
Sturbridge,7837,9268,18.26
Sutton,8250,8963,8.64
Templeton,6799,8013,17.86
Upton,5642,7542,33.68
Uxbridge,11156,13457,20.63
Warren,4776,5135,7.52
Webster,16415,16767,2.14
West Boylston,7481,7669,2.51
West Brookfield,3804,3701,-2.71
Westborough,17997,18272,1.53
Westminster,6907,7277,5.36
Winchendon,9611,10300,7.17
Worcester,172648,181045,4.86
